ID,orbit,scene,tile,time_UTC
US-xST,10261,7,15TYL,2020-04-27 15:59:49
US-PFd,10261,7,15TYL,2020-04-27 15:59:49
US-PFs,10261,7,15TYL,2020-04-27 15:59:49
US-PFm,10261,7,15TYL,2020-04-27 15:59:49
US-PFh,10261,7,15TYL,2020-04-27 15:59:49
US-PFr,10261,7,15TYL,2020-04-27 15:59:49
US-PFL,10261,7,15TYL,2020-04-27 15:59:49
US-xTR,10261,7,15TYL,2020-04-27 15:59:49
US-PFi,10261,7,15TYL,2020-04-27 15:59:49
US-PFq,10261,7,15TYL,2020-04-27 15:59:49
US-PFt,10261,7,15TYL,2020-04-27 15:59:49
US-PFj,10261,7,15TYL,2020-04-27 15:59:49
US-WCr,10261,7,15TYL,2020-04-27 15:59:49
US-PFp,10261,7,15TYL,2020-04-27 15:59:49
US-PFn,10261,7,15TYL,2020-04-27 15:59:49
US-PFk,10261,7,15TYL,2020-04-27 15:59:49
US-xUN,10261,7,15TYM,2020-04-27 15:59:49
US-TrB,10261,7,15TYM,2020-04-27 15:59:49
US-Los,10261,7,15TYM,2020-04-27 15:59:49
US-PFe,10261,7,15TYM,2020-04-27 15:59:49
US-TrS,10261,7,15TYM,2020-04-27 15:59:49
US-Syv,10261,7,15TYM,2020-04-27 15:59:49
US-DFC,10261,8,15TYJ,2020-04-27 16:00:41
US-CS5,10261,8,15TYJ,2020-04-27 16:00:41
US-CC2,10261,8,15TYJ,2020-04-27 16:00:41
US-DFK,10261,8,15TYJ,2020-04-27 16:00:41
US-CC1,10261,8,15TYJ,2020-04-27 16:00:41
US-KM4,10261,9,16TFN,2020-04-27 16:01:33
US-UC2,10261,10,17TQF,2020-04-27 16:02:25
US-UC1,10261,10,17TQF,2020-04-27 16:02:25
US-xBL,10261,11,17SQD,2020-04-27 16:03:17
US-xSC,10261,11,17SQD,2020-04-27 16:03:17
US-xSE,10261,11,18SUJ,2020-04-27 16:03:17
US-xNW,10262,5,13TDE,2020-04-27 17:34:56
US-NR3,10262,5,13TDE,2020-04-27 17:34:56
US-xRM,10262,5,13TDE,2020-04-27 17:34:56
US-NR4,10262,5,13TDE,2020-04-27 17:34:56
US-xCP,10262,5,13TEF,2020-04-27 17:34:56
US-xSL,10262,6,13TFE,2020-04-27 17:35:48
US-xAE,10262,7,14SME,2020-04-27 17:36:40
US-ARM,10262,7,14SPF,2020-04-27 17:36:40
US-xNG,10274,9,14TLS,2020-04-28 11:55:36
US-xWD,10274,10,14TMT,2020-04-28 11:56:28
US-xDC,10274,10,14TMT,2020-04-28 11:56:28
US-xSJ,10278,11,11SKB,2020-04-28 18:22:27
US-xSP,10278,11,11SKB,2020-04-28 18:22:27
US-xTE,10278,11,11SLB,2020-04-28 18:22:27
US-MtB,10278,13,12SWA,2020-04-28 18:24:11
US-xSR,10278,14,12SWA,2020-04-28 18:25:03
US-Wkg,10278,14,12SWA,2020-04-28 18:25:03
US-SRG,10278,14,12SWA,2020-04-28 18:25:03
US-Whs,10278,14,12SWA,2020-04-28 18:25:03
US-SRS,10278,14,12SWA,2020-04-28 18:25:03
US-SRM,10278,14,12SWA,2020-04-28 18:25:03
US-CMW,10278,14,12SWA,2020-04-28 18:25:03
US-UMd,10291,5,16TFR,2020-04-29 14:25:31
US-UMB,10291,5,16TFR,2020-04-29 14:25:31
CA-Cbo,10291,6,17TNK,2020-04-29 14:26:23
US-xHA,10291,8,18TYN,2020-04-29 14:28:07
US-Ha2,10291,8,18TYN,2020-04-29 14:28:07
US-HBK,10291,8,18TYP,2020-04-29 14:28:07
US-PHM,10291,8,19TCH,2020-04-29 14:28:07
US-Bar,10291,8,19TCJ,2020-04-29 14:28:07
US-xBR,10291,8,19TCJ,2020-04-29 14:28:07
US-xNG,10292,6,14TLS,2020-04-29 15:59:30
US-MOz,10292,9,15SWC,2020-04-29 16:02:06
US-UiB,10292,9,16TCK,2020-04-29 16:02:06
US-MMS,10292,10,16SEJ,2020-04-29 16:02:58
US-xRN,10292,11,16SGE,2020-04-29 16:03:50
US-xGR,10292,11,17SKV,2020-04-29 16:03:50
US-Rls,10293,7,11TNH,2020-04-29 17:34:30
US-Rwf,10293,7,11TNH,2020-04-29 17:34:30
US-Rws,10293,7,11TNH,2020-04-29 17:34:30
US-Rms,10293,7,11TNH,2020-04-29 17:34:30
US-xNQ,10293,8,12TUK,2020-04-29 17:35:22
US-xMB,10293,9,12SXH,2020-04-29 17:36:14
US-xJR,10293,10,13SCS,2020-04-29 17:37:06
US-Jo2,10293,10,13SCS,2020-04-29 17:37:06
US-Jo1,10293,10,13SCS,2020-04-29 17:37:06
US-Seg,10293,10,13SCU,2020-04-29 17:37:06
US-Mpj,10293,10,13SCU,2020-04-29 17:37:06
US-Ses,10293,10,13SCU,2020-04-29 17:37:06
US-Vcp,10293,10,13SCV,2020-04-29 17:37:06
US-Vcs,10293,10,13SCV,2020-04-29 17:37:06
US-Vcm,10293,10,13SCV,2020-04-29 17:37:06
US-Wjs,10293,10,13SDU,2020-04-29 17:37:06
US-HBK,10306,8,18TYP,2020-04-30 13:39:42
US-Bar,10306,8,19TCJ,2020-04-30 13:39:42
US-xBR,10306,8,19TCJ,2020-04-30 13:39:42
US-PHM,10306,9,19TCH,2020-04-30 13:40:34
US-Ho2,10306,9,19TEL,2020-04-30 13:40:34
US-Ho1,10306,9,19TEL,2020-04-30 13:40:34
US-xNG,10307,6,14TLS,2020-04-30 15:11:44
US-xWD,10307,6,14TMT,2020-04-30 15:11:44
US-xDC,10307,6,14TMT,2020-04-30 15:11:44
US-Ro4,10307,8,15TVK,2020-04-30 15:13:28
US-CC2,10307,8,15TYJ,2020-04-30 15:13:28
US-CC1,10307,8,15TYJ,2020-04-30 15:13:28
US-DFC,10307,9,15TYJ,2020-04-30 15:14:21
US-DFK,10307,9,15TYJ,2020-04-30 15:14:21
US-UiB,10307,9,16TCK,2020-04-30 15:14:21
US-MMS,10307,10,16SEJ,2020-04-30 15:15:13
US-xML,10307,11,17SNB,2020-04-30 15:16:05
US-Rls,10308,8,11TNH,2020-04-30 16:46:39
US-Rwf,10308,8,11TNH,2020-04-30 16:46:39
US-Rws,10308,8,11TNH,2020-04-30 16:46:39
US-Rms,10308,8,11TNH,2020-04-30 16:46:39
US-xNQ,10308,9,12TUK,2020-04-30 16:47:31
US-xMB,10308,10,12SXH,2020-04-30 16:48:23
US-xNW,10308,10,13TDE,2020-04-30 16:48:23
US-NR3,10308,10,13TDE,2020-04-30 16:48:23
US-xRM,10308,10,13TDE,2020-04-30 16:48:23
US-NR4,10308,10,13TDE,2020-04-30 16:48:23
US-xAE,10308,12,14SME,2020-04-30 16:50:07
US-xCL,10308,13,14SPC,2020-04-30 16:50:59
US-xPU,10311,11,05QKB,2020-04-30 21:34:37
US-xNG,10322,5,14TLS,2020-05-01 14:23:49
US-xWD,10322,5,14TMT,2020-05-01 14:23:49
US-xDC,10322,5,14TMT,2020-05-01 14:23:49
US-Ro4,10322,7,15TVK,2020-05-01 14:25:33
US-PFb,10322,7,15TYL,2020-05-01 14:25:33
US-PFg,10322,7,15TYL,2020-05-01 14:25:33
US-PFc,10322,7,15TYL,2020-05-01 14:25:33
US-xST,10322,7,15TYL,2020-05-01 14:25:33
US-PFd,10322,7,15TYL,2020-05-01 14:25:33
US-PFs,10322,7,15TYL,2020-05-01 14:25:33
US-PFm,10322,7,15TYL,2020-05-01 14:25:33
US-PFh,10322,7,15TYL,2020-05-01 14:25:33
US-PFr,10322,7,15TYL,2020-05-01 14:25:33
US-PFL,10322,7,15TYL,2020-05-01 14:25:33
US-xTR,10322,7,15TYL,2020-05-01 14:25:33
US-PFi,10322,7,15TYL,2020-05-01 14:25:33
US-PFq,10322,7,15TYL,2020-05-01 14:25:33
US-PFt,10322,7,15TYL,2020-05-01 14:25:33
US-PFj,10322,7,15TYL,2020-05-01 14:25:33
US-WCr,10322,7,15TYL,2020-05-01 14:25:33
US-PFp,10322,7,15TYL,2020-05-01 14:25:33
US-PFn,10322,7,15TYL,2020-05-01 14:25:33
US-PFk,10322,7,15TYL,2020-05-01 14:25:33
US-xUN,10322,7,15TYM,2020-05-01 14:25:33
US-TrB,10322,7,15TYM,2020-05-01 14:25:33
US-Los,10322,7,15TYM,2020-05-01 14:25:33
US-PFe,10322,7,15TYM,2020-05-01 14:25:33
US-TrS,10322,7,15TYM,2020-05-01 14:25:33
US-Syv,10322,7,15TYM,2020-05-01 14:25:33
US-DFC,10322,8,15TYJ,2020-05-01 14:26:25
US-CS5,10322,8,15TYJ,2020-05-01 14:26:25
US-CC2,10322,8,15TYJ,2020-05-01 14:26:25
US-DFK,10322,8,15TYJ,2020-05-01 14:26:25
US-CC1,10322,8,15TYJ,2020-05-01 14:26:25
US-KM4,10322,9,16TFN,2020-05-01 14:27:17
US-UC2,10322,10,17TQF,2020-05-01 14:28:09
US-UC1,10322,10,17TQF,2020-05-01 14:28:09
US-xBL,10322,11,17SQD,2020-05-01 14:29:01
US-xSC,10322,11,17SQD,2020-05-01 14:29:01
US-xSE,10322,11,18SUJ,2020-05-01 14:29:01
US-xSJ,10324,11,11SKB,2020-05-01 17:35:43
US-xSP,10324,11,11SKB,2020-05-01 17:35:43
US-xTE,10324,11,11SLB,2020-05-01 17:35:43
US-PFb,10337,6,15TYL,2020-05-02 13:37:52
US-PFg,10337,6,15TYL,2020-05-02 13:37:52
US-PFc,10337,6,15TYL,2020-05-02 13:37:52
US-xST,10337,6,15TYL,2020-05-02 13:37:52
US-PFd,10337,6,15TYL,2020-05-02 13:37:52
US-PFs,10337,6,15TYL,2020-05-02 13:37:52
US-PFm,10337,6,15TYL,2020-05-02 13:37:52
US-PFh,10337,6,15TYL,2020-05-02 13:37:52
US-PFr,10337,6,15TYL,2020-05-02 13:37:52
US-PFL,10337,6,15TYL,2020-05-02 13:37:52
US-xTR,10337,6,15TYL,2020-05-02 13:37:52
US-PFi,10337,6,15TYL,2020-05-02 13:37:52
US-PFq,10337,6,15TYL,2020-05-02 13:37:52
US-PFt,10337,6,15TYL,2020-05-02 13:37:52
US-PFj,10337,6,15TYL,2020-05-02 13:37:52
US-WCr,10337,6,15TYL,2020-05-02 13:37:52
US-PFp,10337,6,15TYL,2020-05-02 13:37:52
US-PFn,10337,6,15TYL,2020-05-02 13:37:52
US-PFk,10337,6,15TYL,2020-05-02 13:37:52
US-xUN,10337,6,15TYM,2020-05-02 13:37:52
US-TrB,10337,6,15TYM,2020-05-02 13:37:52
US-Los,10337,6,15TYM,2020-05-02 13:37:52
US-PFe,10337,6,15TYM,2020-05-02 13:37:52
US-TrS,10337,6,15TYM,2020-05-02 13:37:52
US-Syv,10337,6,15TYM,2020-05-02 13:37:52
US-UMd,10337,7,16TFR,2020-05-02 13:38:44
US-UMB,10337,7,16TFR,2020-05-02 13:38:44
CA-Cbo,10337,8,17TNK,2020-05-02 13:39:36
US-UC2,10337,9,17TQF,2020-05-02 13:40:28
US-UC1,10337,9,17TQF,2020-05-02 13:40:28
US-xKZ,10338,8,14SQJ,2020-05-02 15:15:08
US-xKA,10338,8,14SQJ,2020-05-02 15:15:08
US-xUK,10338,8,15SUD,2020-05-02 15:15:08
US-MOz,10338,8,15SWC,2020-05-02 15:15:08
US-xJE,10338,11,16RGV,2020-05-02 15:17:44
US-xLE,10338,11,16SCA,2020-05-02 15:17:44
US-xDL,10338,11,16SDB,2020-05-02 15:17:44
US-xTA,10338,11,16SDB,2020-05-02 15:17:44
US-SP1,10338,12,17RLN,2020-05-02 15:18:36
US-xSB,10338,12,17RLN,2020-05-02 15:18:36
US-xSJ,10339,9,11SKB,2020-05-02 16:48:05
US-xSP,10339,9,11SKB,2020-05-02 16:48:05
US-xTE,10339,9,11SLB,2020-05-02 16:48:05
US-xSR,10339,12,12SWA,2020-05-02 16:50:41
US-Wkg,10339,12,12SWA,2020-05-02 16:50:41
US-MtB,10339,12,12SWA,2020-05-02 16:50:41
US-SRG,10339,12,12SWA,2020-05-02 16:50:41
US-Whs,10339,12,12SWA,2020-05-02 16:50:41
US-SRS,10339,12,12SWA,2020-05-02 16:50:41
US-SRM,10339,12,12SWA,2020-05-02 16:50:41
US-CMW,10339,12,12SWA,2020-05-02 16:50:41
US-UMd,10352,6,16TFR,2020-05-03 12:51:10
US-UMB,10352,6,16TFR,2020-05-03 12:51:10
CA-Cbo,10352,7,17TNK,2020-05-03 12:52:02
US-xHA,10352,9,18TYN,2020-05-03 12:53:46
US-Ha2,10352,9,18TYN,2020-05-03 12:53:46
US-HBK,10352,9,18TYP,2020-05-03 12:53:46
US-PHM,10352,9,19TCH,2020-05-03 12:53:46
US-Bar,10352,9,19TCJ,2020-05-03 12:53:46
US-xBR,10352,9,19TCJ,2020-05-03 12:53:46
US-xNG,10353,6,14TLS,2020-05-03 14:25:14
US-MOz,10353,9,15SWC,2020-05-03 14:27:50
US-UiB,10353,9,16TCK,2020-05-03 14:27:50
US-MMS,10353,10,16SEJ,2020-05-03 14:28:42
US-xRN,10353,11,16SGE,2020-05-03 14:29:34
US-xGR,10353,11,17SKV,2020-05-03 14:29:34
US-Rls,10354,2,11TNH,2020-05-03 16:00:15
US-Rwf,10354,2,11TNH,2020-05-03 16:00:15
US-Rws,10354,2,11TNH,2020-05-03 16:00:15
US-Rms,10354,2,11TNH,2020-05-03 16:00:15
US-xNQ,10354,3,12TUK,2020-05-03 16:01:06
US-xMB,10354,4,12SXH,2020-05-03 16:01:58
US-xJR,10354,5,13SCS,2020-05-03 16:02:50
US-Jo2,10354,5,13SCS,2020-05-03 16:02:50
US-Jo1,10354,5,13SCS,2020-05-03 16:02:50
US-Seg,10354,5,13SCU,2020-05-03 16:02:50
US-Mpj,10354,5,13SCU,2020-05-03 16:02:50
US-Ses,10354,5,13SCU,2020-05-03 16:02:50
US-Vcp,10354,5,13SCV,2020-05-03 16:02:50
US-Vcs,10354,5,13SCV,2020-05-03 16:02:50
US-Vcm,10354,5,13SCV,2020-05-03 16:02:50
US-Wjs,10354,5,13SDU,2020-05-03 16:02:50
US-PFb,10398,6,15TYL,2020-05-06 12:03:53
US-PFg,10398,6,15TYL,2020-05-06 12:03:53
US-PFc,10398,6,15TYL,2020-05-06 12:03:53
US-xST,10398,6,15TYL,2020-05-06 12:03:53
US-PFd,10398,6,15TYL,2020-05-06 12:03:53
US-PFs,10398,6,15TYL,2020-05-06 12:03:53
US-PFm,10398,6,15TYL,2020-05-06 12:03:53
US-PFh,10398,6,15TYL,2020-05-06 12:03:53
US-PFr,10398,6,15TYL,2020-05-06 12:03:53
US-PFL,10398,6,15TYL,2020-05-06 12:03:53
US-xTR,10398,6,15TYL,2020-05-06 12:03:53
US-PFi,10398,6,15TYL,2020-05-06 12:03:53
US-PFq,10398,6,15TYL,2020-05-06 12:03:53
US-PFt,10398,6,15TYL,2020-05-06 12:03:53
US-PFj,10398,6,15TYL,2020-05-06 12:03:53
US-WCr,10398,6,15TYL,2020-05-06 12:03:53
US-PFp,10398,6,15TYL,2020-05-06 12:03:53
US-PFn,10398,6,15TYL,2020-05-06 12:03:53
US-PFk,10398,6,15TYL,2020-05-06 12:03:53
US-xUN,10398,6,15TYM,2020-05-06 12:03:53
US-TrB,10398,6,15TYM,2020-05-06 12:03:53
US-Los,10398,6,15TYM,2020-05-06 12:03:53
US-PFe,10398,6,15TYM,2020-05-06 12:03:53
US-TrS,10398,6,15TYM,2020-05-06 12:03:53
US-Syv,10398,6,15TYM,2020-05-06 12:03:53
US-UMd,10398,7,16TFR,2020-05-06 12:04:45
US-UMB,10398,7,16TFR,2020-05-06 12:04:45
CA-Cbo,10398,8,17TNK,2020-05-06 12:05:37
US-xKZ,10399,4,14SQJ,2020-05-06 13:40:47
US-xKA,10399,4,14SQJ,2020-05-06 13:40:47
US-xUK,10399,4,15SUD,2020-05-06 13:40:47
US-MOz,10399,5,15SWC,2020-05-06 13:41:39
US-xLE,10399,7,16SCA,2020-05-06 13:43:23
US-xDL,10399,7,16SDB,2020-05-06 13:43:23
US-xTA,10399,7,16SDB,2020-05-06 13:43:23
US-xJE,10399,8,16RGV,2020-05-06 13:44:15
US-SP1,10399,8,17RLN,2020-05-06 13:44:15
US-xSB,10399,8,17RLN,2020-05-06 13:44:15
US-xSP,10400,10,11SKB,2020-05-06 15:13:50
US-xTE,10400,10,11SLB,2020-05-06 15:13:50
US-xSR,10400,13,12SWA,2020-05-06 15:16:26
US-Wkg,10400,13,12SWA,2020-05-06 15:16:26
US-MtB,10400,13,12SWA,2020-05-06 15:16:26
US-SRG,10400,13,12SWA,2020-05-06 15:16:26
US-Whs,10400,13,12SWA,2020-05-06 15:16:26
US-SRS,10400,13,12SWA,2020-05-06 15:16:26
US-SRM,10400,13,12SWA,2020-05-06 15:16:26
US-CMW,10400,13,12SWA,2020-05-06 15:16:26
US-HBK,10428,8,18TYP,2020-05-08 10:31:08
US-Bar,10428,8,19TCJ,2020-05-08 10:31:08
US-xBR,10428,8,19TCJ,2020-05-08 10:31:08
US-PHM,10428,9,19TCH,2020-05-08 10:32:00
US-Ho2,10428,9,19TEL,2020-05-08 10:32:00
US-Ho1,10428,9,19TEL,2020-05-08 10:32:00
US-xNG,10429,6,14TLS,2020-05-08 12:03:10
US-xWD,10429,6,14TMT,2020-05-08 12:03:10
US-xDC,10429,6,14TMT,2020-05-08 12:03:10
US-Ro4,10429,8,15TVK,2020-05-08 12:04:54
US-CS5,10429,8,15TYJ,2020-05-08 12:04:54
US-CC2,10429,8,15TYJ,2020-05-08 12:04:54
US-CC1,10429,8,15TYJ,2020-05-08 12:04:54
US-DFC,10429,9,15TYJ,2020-05-08 12:05:46
US-DFK,10429,9,15TYJ,2020-05-08 12:05:46
US-UiB,10429,9,16TCK,2020-05-08 12:05:46
US-MMS,10429,10,16SEJ,2020-05-08 12:06:38
US-KM4,10429,10,16TFN,2020-05-08 12:06:38
US-xML,10429,11,17SNB,2020-05-08 12:07:30
US-Rls,10430,5,11TNH,2020-05-08 13:37:25
US-Rwf,10430,5,11TNH,2020-05-08 13:37:25
US-Rws,10430,5,11TNH,2020-05-08 13:37:25
US-Rms,10430,5,11TNH,2020-05-08 13:37:25
US-xNQ,10430,7,12TUK,2020-05-08 13:39:09
US-xMB,10430,8,12SXH,2020-05-08 13:40:01
US-xNW,10430,8,13TDE,2020-05-08 13:40:01
US-NR3,10430,8,13TDE,2020-05-08 13:40:01
US-xRM,10430,8,13TDE,2020-05-08 13:40:01
US-NR4,10430,8,13TDE,2020-05-08 13:40:01
US-xAE,10430,10,14SME,2020-05-08 13:41:45
US-xCL,10430,11,14SPC,2020-05-08 13:42:37
US-Ho2,10443,12,19TEL,2020-05-09 09:43:45
US-Ho1,10443,12,19TEL,2020-05-09 09:43:45
US-xWD,10444,6,14TMT,2020-05-09 11:15:10
US-xDC,10444,6,14TMT,2020-05-09 11:15:10
US-Ro4,10444,8,15TVK,2020-05-09 11:16:54
US-PFb,10444,8,15TYL,2020-05-09 11:16:54
US-PFg,10444,8,15TYL,2020-05-09 11:16:54
US-PFc,10444,8,15TYL,2020-05-09 11:16:54
US-xST,10444,8,15TYL,2020-05-09 11:16:54
US-PFd,10444,8,15TYL,2020-05-09 11:16:54
US-PFs,10444,8,15TYL,2020-05-09 11:16:54
US-PFm,10444,8,15TYL,2020-05-09 11:16:54
US-PFh,10444,8,15TYL,2020-05-09 11:16:54
US-PFr,10444,8,15TYL,2020-05-09 11:16:54
US-PFL,10444,8,15TYL,2020-05-09 11:16:54
US-xTR,10444,8,15TYL,2020-05-09 11:16:54
US-PFi,10444,8,15TYL,2020-05-09 11:16:54
US-PFq,10444,8,15TYL,2020-05-09 11:16:54
US-PFt,10444,8,15TYL,2020-05-09 11:16:54
US-PFj,10444,8,15TYL,2020-05-09 11:16:54
US-WCr,10444,8,15TYL,2020-05-09 11:16:54
US-PFp,10444,8,15TYL,2020-05-09 11:16:54
US-PFn,10444,8,15TYL,2020-05-09 11:16:54
US-PFk,10444,8,15TYL,2020-05-09 11:16:54
US-xUN,10444,8,15TYM,2020-05-09 11:16:54
US-TrB,10444,8,15TYM,2020-05-09 11:16:54
US-Los,10444,8,15TYM,2020-05-09 11:16:54
US-PFe,10444,8,15TYM,2020-05-09 11:16:54
US-TrS,10444,8,15TYM,2020-05-09 11:16:54
US-Syv,10444,8,15TYM,2020-05-09 11:16:54
US-DFC,10444,9,15TYJ,2020-05-09 11:17:46
US-CS5,10444,9,15TYJ,2020-05-09 11:17:46
US-CC2,10444,9,15TYJ,2020-05-09 11:17:46
US-DFK,10444,9,15TYJ,2020-05-09 11:17:46
US-CC1,10444,9,15TYJ,2020-05-09 11:17:46
US-KM4,10444,10,16TFN,2020-05-09 11:18:38
US-xNW,10445,4,13TDE,2020-05-09 12:52:06
US-NR3,10445,4,13TDE,2020-05-09 12:52:06
US-xRM,10445,4,13TDE,2020-05-09 12:52:06
US-NR4,10445,4,13TDE,2020-05-09 12:52:06
US-xCP,10445,4,13TEF,2020-05-09 12:52:06
US-xSL,10445,5,13TFE,2020-05-09 12:52:58
US-xAE,10445,6,14SME,2020-05-09 12:53:50
US-ARM,10445,6,14SPF,2020-05-09 12:53:50
US-UMd,10459,7,16TFR,2020-05-10 10:30:04
US-UMB,10459,7,16TFR,2020-05-10 10:30:04
CA-Cbo,10459,8,17TNK,2020-05-10 10:30:56
US-UC2,10459,9,17TQF,2020-05-10 10:31:48
US-UC1,10459,9,17TQF,2020-05-10 10:31:48
US-xKZ,10460,6,14SQJ,2020-05-10 12:06:32
US-xKA,10460,6,14SQJ,2020-05-10 12:06:32
US-xUK,10460,6,15SUD,2020-05-10 12:06:32
US-MOz,10460,6,15SWC,2020-05-10 12:06:32
US-xDL,10460,8,16SDB,2020-05-10 12:08:16
US-xJE,10460,9,16RGV,2020-05-10 12:09:08
US-xLE,10460,9,16SCA,2020-05-10 12:09:08
US-xDL,10460,9,16SDB,2020-05-10 12:09:08
US-xTA,10460,9,16SDB,2020-05-10 12:09:08
US-SP1,10460,10,17RLN,2020-05-10 12:10:00
US-xSB,10460,10,17RLN,2020-05-10 12:10:00
US-xSP,10461,10,11SKB,2020-05-10 13:39:17
US-xTE,10461,10,11SLB,2020-05-10 13:39:17
US-xSR,10461,13,12SWA,2020-05-10 13:41:53
US-Wkg,10461,13,12SWA,2020-05-10 13:41:53
US-MtB,10461,13,12SWA,2020-05-10 13:41:53
US-SRG,10461,13,12SWA,2020-05-10 13:41:53
US-Whs,10461,13,12SWA,2020-05-10 13:41:53
US-SRS,10461,13,12SWA,2020-05-10 13:41:53
US-SRM,10461,13,12SWA,2020-05-10 13:41:53
US-CMW,10461,13,12SWA,2020-05-10 13:41:53
US-xJR,10461,14,13SCS,2020-05-10 13:42:45
US-xHA,10474,9,18TYN,2020-05-11 09:45:10
US-Ha2,10474,9,18TYN,2020-05-11 09:45:10
US-HBK,10474,9,18TYP,2020-05-11 09:45:10
US-PHM,10474,9,19TCH,2020-05-11 09:45:10
US-Bar,10474,9,19TCJ,2020-05-11 09:45:10
US-xBR,10474,9,19TCJ,2020-05-11 09:45:10
US-MOz,10475,9,15SWC,2020-05-11 11:19:04
US-MMS,10475,10,16SEJ,2020-05-11 11:19:56
US-UiB,10475,10,16TCK,2020-05-11 11:19:56
US-xRN,10475,11,16SGE,2020-05-11 11:20:48
US-xGR,10475,11,17SKV,2020-05-11 11:20:48
US-Rls,10476,7,11TNH,2020-05-11 12:51:33
US-Rwf,10476,7,11TNH,2020-05-11 12:51:33
US-Rws,10476,7,11TNH,2020-05-11 12:51:33
US-Rms,10476,7,11TNH,2020-05-11 12:51:33
US-xNQ,10476,8,12TUK,2020-05-11 12:52:24
US-xMB,10476,9,12SXH,2020-05-11 12:53:16
US-xJR,10476,10,13SCS,2020-05-11 12:54:08
US-Jo2,10476,10,13SCS,2020-05-11 12:54:08
US-Jo1,10476,10,13SCS,2020-05-11 12:54:08
US-Seg,10476,10,13SCU,2020-05-11 12:54:08
US-Mpj,10476,10,13SCU,2020-05-11 12:54:08
US-Ses,10476,10,13SCU,2020-05-11 12:54:08
US-Vcp,10476,10,13SCV,2020-05-11 12:54:08
US-Vcs,10476,10,13SCV,2020-05-11 12:54:08
US-Vcm,10476,10,13SCV,2020-05-11 12:54:08
US-Wjs,10476,10,13SDU,2020-05-11 12:54:08
US-MMS,10490,10,16SEJ,2020-05-12 10:32:18
US-KM4,10490,10,16TFN,2020-05-12 10:32:18
US-xML,10490,11,17SNB,2020-05-12 10:33:10
US-xNW,10491,7,13TDE,2020-05-12 12:05:42
US-NR3,10491,7,13TDE,2020-05-12 12:05:42
US-xRM,10491,7,13TDE,2020-05-12 12:05:42
US-NR4,10491,7,13TDE,2020-05-12 12:05:42
US-xAE,10491,9,14SME,2020-05-12 12:07:26
US-xCL,10491,10,14SPC,2020-05-12 12:08:18
US-xLE,10506,12,16SCA,2020-05-13 11:22:06
PR-xLA,10591,6,19QFV,2020-05-18 22:26:29
PR-xGU,10591,6,19QGV,2020-05-18 22:26:29
US-xPU,10610,1,05QKB,2020-05-20 03:51:26
US-xLE,10623,2,16SCA,2020-05-21 00:03:48
US-xDL,10623,2,16SDB,2020-05-21 00:03:48
US-xTA,10623,2,16SDB,2020-05-21 00:03:48
US-xRN,10623,4,16SGE,2020-05-21 00:05:32
US-xGR,10623,4,17SKV,2020-05-21 00:05:32
US-xML,10623,5,17SNB,2020-05-21 00:06:24
US-xBL,10623,5,17SQD,2020-05-21 00:06:24
US-xSC,10623,5,17SQD,2020-05-21 00:06:24
US-UC2,10623,6,17TQF,2020-05-21 00:07:16
US-UC1,10623,6,17TQF,2020-05-21 00:07:16
US-xSE,10623,6,18SUJ,2020-05-21 00:07:16
US-xSR,10624,1,12SWA,2020-05-21 01:36:48
US-Wkg,10624,1,12SWA,2020-05-21 01:36:48
US-MtB,10624,1,12SWA,2020-05-21 01:36:48
US-SRG,10624,1,12SWA,2020-05-21 01:36:48
US-Whs,10624,1,12SWA,2020-05-21 01:36:48
US-SRS,10624,1,12SWA,2020-05-21 01:36:48
US-SRM,10624,1,12SWA,2020-05-21 01:36:48
US-CMW,10624,1,12SWA,2020-05-21 01:36:48
US-Seg,10624,2,13SCU,2020-05-21 01:37:40
US-Mpj,10624,2,13SCU,2020-05-21 01:37:40
US-Ses,10624,2,13SCU,2020-05-21 01:37:40
US-Vcp,10624,3,13SCV,2020-05-21 01:38:32
US-Vcs,10624,3,13SCV,2020-05-21 01:38:32
US-Vcm,10624,3,13SCV,2020-05-21 01:38:32
US-Wjs,10624,3,13SDU,2020-05-21 01:38:32
US-xSL,10624,4,13TFE,2020-05-21 01:39:24
US-xJE,10638,5,16RGV,2020-05-21 23:16:38
US-SP1,10638,5,17RLN,2020-05-21 23:16:38
US-xSB,10638,5,17RLN,2020-05-21 23:16:38
US-HB3,10638,6,17SPS,2020-05-21 23:17:30
US-HB2,10638,6,17SPS,2020-05-21 23:17:30
US-NC3,10638,7,18SUE,2020-05-21 23:18:22
US-NC2,10638,7,18SUE,2020-05-21 23:18:22
US-NC4,10638,7,18SVE,2020-05-21 23:18:22
US-xJR,10639,1,13SCS,2020-05-22 00:49:46
US-Jo2,10639,1,13SCS,2020-05-22 00:49:46
US-Jo1,10639,1,13SCS,2020-05-22 00:49:46
US-xAE,10639,3,14SME,2020-05-22 00:51:30
US-ARM,10639,4,14SPF,2020-05-22 00:52:22
US-xKZ,10639,4,14SQJ,2020-05-22 00:52:22
US-xKA,10639,4,14SQJ,2020-05-22 00:52:22
US-xUK,10639,5,15SUD,2020-05-22 00:53:13
US-DFC,10639,7,15TYJ,2020-05-22 00:54:57
US-CS5,10639,7,15TYJ,2020-05-22 00:54:57
US-CC2,10639,7,15TYJ,2020-05-22 00:54:57
US-DFK,10639,7,15TYJ,2020-05-22 00:54:57
